field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box1,Check Box1,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner,PlaintiffPetitioner,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendantrespondent,DefendantRespondent,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_party_if_any,Other Party if any,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_re,IN RE,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
motion_for_service_by_court_due_to_confidential_address,MOTION FOR SERVICE BY COURT DUE TO CONFIDENTIAL ADDRESS,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
plaintiffpetitioner,plaintiffpetitioner,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendantrespondent,defendantrespondent,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_name,other name,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_i_ask_the_court_to_serve_the_attached_court_papers_on_the_other_party_because_the_other_partys_current,and I ask the court to serve the attached court papers on the other party because the other partys current,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
to_my_personal_knowledge_the_other_party_is_not_in_the_military_service_of_the_united_states_as_defined,To my personal knowledge the other party is not in the military service of the United States as defined,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_the_servicemembers_civil_relief_act_of_2023_50_app_usc_511_i_believe_this_because_1,in the Servicemembers Civil Relief Act of 2023 50 App USC  511 I believe this because 1,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
service_by_the_court_is_the_method_most_likely_to_provide_actual_notice_to_the_other_party_about_this,Service by the Court is the method most likely to provide actual notice to the other party about this,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_swear_under_penalty_of_perjury_that_the_above_statements_are_true_and_correct_i_understand_that_these,I swear under penalty of perjury that the above statements are true and correct I understand that these,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W017,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
attorney_for,attorney for,W019,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
plaintiffpetitioner_2,plaintiffpetitioner_2,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant,defendant,W021,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other,other,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
printed_name_and_maine_bar_no_if_applicable,Printed name and Maine Bar No if applicable,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
personally_appeared_the_abovenamed,Personally appeared the abovenamed,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
