field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
judgment_creditor,Judgment Creditor,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
judgment_debtor,Judgment Debtor,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employment_information_pursuant_to_14_mrs_3126a8_to_be_served_on,employment information pursuant to 14 MRS  3126A8 to be served on,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
installment_order_dated_mmddyyyy,installment order dated mmddyyyy,W006,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
the_judgment_debtor_currently_owes_the_judgment_creditor,The judgment debtor currently owes the judgment creditor,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plus_costs_of,plus costs of,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
for_a_total_of,for a total of,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_swear_under_penalty_of_perjury_that_the_above_statements_are_true_and_correct_i_understand_that_these_statements,I swear under penalty of perjury that the above statements are true and correct I understand that these statements,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W012,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
