field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W002,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
superior_court,Superior Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W005,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
i_name,I name,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,plaintiff,W010,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,defendant,W011,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other,other,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_this_matter_am_scheduled_to_appear_at_a_court,in this matter am scheduled to appear at a court,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
proceeding_on_mmddyyyy,proceeding on mmddyyyy,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
at,at,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
am,am,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm,pm,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_person_at_a_courthouse,in person at a courthouse,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
by_video,by video,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
by_telephone,by telephone,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_person_at_a_courthouse_2,in person at a courthouse_2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
by_video_2,by video_2,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
by_telephone_2,by telephone_2,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
my_email_address_is,My email address is,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
my_phone_number_is,My phone number is,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_am_requesting_to_change_the_format_because_if_you_need_more_space_to_write_please_attach_another_page_1,I am requesting to change the format because if you need more space to write please attach another page 1,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_have_checked_with_the_other_partyies_and_they,I have checked with the other partyies and they,W027,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
do_have,do have,W028,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
do_not_have_an_objection_to_this,do not have an objection to this,W029,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_have_not_checked_with_the_other_partyies_to_ask_if_there_is_an_objection_to_this_motion_because_i_do,I have not checked with the other partyies to ask if there is an objection to this motion because I do,W030,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_have_checked_with_the_other_partyies_and_they_2,I have checked with the other partyies and they_2,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
do_have_2,do have_2,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
do_not_have_an_objection_to_this_2,do not have an objection to this_2,W033,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W034,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
undefined,undefined,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
attorney_for,Attorney for,W036,text,text,party_attr,attorney,1,0,green,Y,,,case_dict,
plaintiff_2,plaintiff_2,W037,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
defendant_2,defendant_2,W038,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
undefined_2,undefined_2,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
other_2,other_2,W040,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
bar_no_if_applicable,Bar No if applicable,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
