field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
location,location,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,docket no,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
defendant,Defendant,W004,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party_if_any,Other party if any,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i,I,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name,name,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,plaintiff,W008,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,defendant,W009,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
guardian_ad_litem,guardian ad litem,W010,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
undefined_2,undefined_2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_denial_of_an_expedited_hearing_could_result_in_substantial_adverse_effects_on_the_minor,The denial of an expedited hearing could result in substantial adverse effects on the minor,W013,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
children_and_their_bests_interests_as_follows_1,children and their bests interests as follows 1,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
children_and_their_bests_interests_as_follows_2,children and their bests interests as follows 2,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
children_and_their_bests_interests_as_follows_3,children and their bests interests as follows 3,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
children_and_their_bests_interests_as_follows_4,children and their bests interests as follows 4,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_denial_of_an_expedited_hearing_could_result_in_substantial_adverse_effects_on_the_financial,The denial of an expedited hearing could result in substantial adverse effects on the financial,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
support_of_the_minor_children_as_follows_1,support of the minor children as follows 1,W020,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
support_of_the_minor_children_as_follows_2,support of the minor children as follows 2,W021,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
support_of_the_minor_children_as_follows_3,support of the minor children as follows 3,W022,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
support_of_the_minor_children_as_follows_4,support of the minor children as follows 4,W023,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
3,3,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_denial_of_an_expedited_hearing_could_result_in_substantial_adverse_effects_on_my_parental_rights,The denial of an expedited hearing could result in substantial adverse effects on my parental rights,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
as_follows_1,as follows 1,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
as_follows_2,as follows 2,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
as_follows_3,as follows 3,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
as_follows_4,as follows 4,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
4,4,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
childrens_health_andor_financial_standing_andor,childrens health andor financial standing ANDOR,W031,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
