field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
judgment_creditor,Judgment Creditor,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
judgment_debtor,Judgment Debtor,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_judgment_debtor_presently_resides_at,The judgment debtor presently resides at,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy,On mmddyyyy,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plus_costs_of,plus costs of,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text2,Text2,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box5,Check Box5,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy_2,On mmddyyyy_2,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
creditor_in_installments_of,creditor in installments of,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
per,per,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box6,Check Box6,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_mmddyyyy_3,On mmddyyyy_3,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box7,Check Box7,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_swear_under_penalty_of_perjury_that_the_above_statements_are_true_and_correct_i_understand_that_these,I swear under penalty of perjury that the above statements are true and correct I understand that these,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W022,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
