field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
in_re,IN RE,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
dob_mmddyyyy,DOB mmddyyyy,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
docket_no,Docket No,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
court_date_mmddyyyy,COURT DATE mmddyyyy,W005,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
summary_preliminary_hearing,SUMMARY PRELIMINARY HEARING,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
jeopardy_hearing,JEOPARDY HEARING,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
judicial_review_hearing,JUDICIAL REVIEW HEARING,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
termination_of_parental_rights_hearing,TERMINATION OF PARENTAL RIGHTS HEARING,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other,OTHER,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i,I,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
for_the_children_identified_above_reports_the_following,for the children identified above reports the following,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W013,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
at_the_following_location,at the following location,W014,text,text,case_constant,county,0,0,green,Y,,,case_dict,
date_mmddyyyy_2,Date mmddyyyy_2,W015,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
at_the_following_location_2,at the following location_2,W016,text,text,case_constant,county,0,0,green,Y,,,case_dict,
date_mmddyyyy_3,Date mmddyyyy_3,W017,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
at_the_following_location_3,at the following location_3,W018,text,text,case_constant,county,0,0,green,Y,,,case_dict,
date_mmddyyyy_4,Date mmddyyyy_4,W019,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
at_the_following_location_4,at the following location_4,W020,text,text,case_constant,county,0,0,green,Y,,,case_dict,
i_had_facetoface_contact_with_the_children_in_the_childrens_home_or_foster_home_within_7_days_after_my,I had facetoface contact with the children in the childrens home or foster home within 7 days after my,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_have_had_facetoface_contact_with_the_children_in_the_childrens_home_or_foster_home_at_least_once,I have had facetoface contact with the children in the childrens home or foster home at least once,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_did_not_fulfill_the_statutory_requirement_to_meet_with_the_children_because,I did not fulfill the statutory requirement to meet with the children because,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
of_the_children_on_mmddyyyy,of the children on mmddyyyy,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_met_the_statutory_timeline_of_filing_a_written_report_at_least_every_six_months,I met the statutory timeline of filing a written report at least every six months,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_have_not_met_the_statutory_timeline_of_filing_a_written_report_at_least_every_6_months_because,I have not met the statutory timeline of filing a written report at least every 6 months because,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_2,1_2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_filed_my_report_on_or_before_the_date_ordered_by_the_court,I filed my report on or before the date ordered by the court,W029,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
i_did_not_file_my_report_on_or_before_the_date_ordered_by_the_court_because,I did not file my report on or before the date ordered by the court because,W030,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
1_3,1_3,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
as_required_by_22_mrs_40051d_i_have_attached_a_written_report_of_my_investigation_findings_and,As required by 22 MRS  40051D I have attached a written report of my investigation findings and,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
no_written_report_of_my_investigation_findings_and_recommendations_is_attached_because_this_compliance,No written report of my investigation findings and recommendations is attached because this compliance,W033,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
dated_mmddyyyy,Dated mmddyyyy,W034,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
undefined,undefined,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
name,Name,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
bar_number_1,Bar Number 1,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
bar_number_2,Bar Number 2,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
address,Address,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
