field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
undefined,undefined,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W005,text,text,case_constant,county,0,0,green,Y,,,case_dict,
v,V,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W008,text,text,case_constant,county,0,0,green,Y,,,case_dict,
civil,CIVIL,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
criminal,CRIMINAL,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_name_of_party_appealing,I name of party appealing,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
appeal_from_the_judgment_order,appeal from the judgment order,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_is_a_civil_appeal,This is a civil appeal,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_case_arises_from_the_maine_tort_claims_act_requiring_the_clerk_to_send_a_copy_of_this_notice_of_appeal_to_the_office_of,This case arises from the Maine Tort Claims Act requiring the clerk to send a copy of this Notice of Appeal to the Office of,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
if_this_is_a_criminal_appeal_check_one_of_the_following,If this is a criminal appeal check one of the following,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_defendant_is_presently_confined_at,The defendant is presently confined at,W016,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
undefined_3,undefined_3,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_defendant_is_not_in_custody_the_defendants_address_is,The defendant is not in custody The defendants address is,W018,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
text1,Text1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_transcript_order_form_is_attached,The Transcript Order form is attached,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
no_transcript_will_be_ordered,No transcript will be ordered,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
no_electronic_or_other_recording_of_the_proceedings_can_be_prepared_for_this_civil_case_therefore_a_statement_in,No electronic or other recording of the proceedings can be prepared for this civil case Therefore a statement in,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W023,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
lieu_of_transcript_will_be_prepared_pursuant_to_mr_app_p_5d,lieu of transcript will be prepared pursuant to MR App P 5d,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_of_appellant_or_attorney_1,Address of Appellant or Attorney 1,W025,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
text2,Text2,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address_of_appellant_or_attorney_2,Address of Appellant or Attorney 2,W027,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
address_of_appellant_or_attorney_3,Address of Appellant or Attorney 3,W028,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
printed_name_of_appellant_or_appellants_attorney,Printed name of Appellant or Appellants Attorney,W029,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
