field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
individually_and_on_behalf_of_plaintiff,individually and on behalf of plaintiff,W002,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
on_behalf_of_plaintiff_1,On behalf of Plaintiff 1,W003,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
on_behalf_of_2,On behalf of 2,W004,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
obo_plt,OBO Plt,W005,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
on_behalf_of_3,On behalf of 3,W006,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
on_behalf_of_4,On behalf of 4,W007,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
defendant,Defendant,W008,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
on_behalf_defendant,On behalf Defendant,W009,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
obo_defendant_name,OBO Defendant Name,W010,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
location_town,Location Town,W011,text,text,case_constant,county,1,0,green,Y,,,case_dict,
docket_no,Docket No,W012,text,text,case_constant,docket_no,1,0,green,Y,,,case_dict,
i_understand_i_must_have_access_to_a_safe_phone_number_and_a_safe_email_that_i_can_check_regularly_to_file,I UNDERSTAND I must have access to a safe phone number and a safe email that I can check regularly to file,W013,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_understand_if_the_court_schedules_me_for_a_call_with_the_judge_the_defendant_will_not_be_on_the_call_and_i,I UNDERSTAND if the court schedules me for a call with the judge the defendant will not be on the call and I,W014,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
i_understand_that_filing_by_email_does_not_mean_i_am_automatically_protected_a_judge_must_review_my_filing,I UNDERSTAND that filing by email does not mean I am automatically protected A judge must review my filing,W015,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_understand_that_any_filings_received_electronically_on_a_weekend_legal_holiday_during_a_court_closure_or,I UNDERSTAND that any filings received electronically on a weekend legal holiday during a court closure or,W016,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_understand_that_i_may_file_electronically_without_oath_and_notarization_only_if_i_check_the_box_on_the,I UNDERSTAND that I may file electronically without oath and notarization only if I check the box on the,W017,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_understand_that_all_documents_filed_by_email_must_be_in_word_or_pdf_format_all_documents_filed_by,I UNDERSTAND that all documents filed by email must be in Word or PDF format All documents filed by,W018,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
safe_email,Safe email,W019,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
safe_phone_number,Safe phone number,W020,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
check_here_if_you_would_like_the_clerk_to_also_call_you_with_your_scheduled_time_please_note_that_the_clerk_may,Check here if you would like the clerk to also call you with your scheduled time Please note that the clerk may,W021,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
i_want_to_file_this_matter_in_court_locationtown_name,I want to file this matter in court locationtown name,W022,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
i_am_filing_by_email_this_option_is_available_for_all_courts_but_only_for_complaints_and_motions_to,I am filing by email this option is available for all courts but only for complaints and motions to,W023,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
wwwcourtsmainegovecourtsindexhtml_for_a_list_of_courts_that_accept_efiling_and_to_learn_about_the,wwwcourtsmainegovecourtsindexhtml for a list of courts that accept eFiling and to learn about the,W024,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W025,text,text,narrative_derived,date,3,5,green,,Y,,llm_over_narrative,
s,s,W026,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
plaintiff_dup1,Plaintiff,W027,text,text,party_attr,plaintiff,4,0,green,Y,,,case_dict,
individually_and_on_behalf_of_plaintiff_dup1,individually and on behalf of plaintiff,W028,text,text,party_attr,plaintiff,4,0,green,Y,,,case_dict,
on_behalf_of_plaintiff_1_dup1,On behalf of Plaintiff 1,W029,text,text,party_attr,plaintiff,4,0,green,Y,,,case_dict,
on_behalf_of_2_dup1,On behalf of 2,W030,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
obo_plt_dup1,OBO Plt,W031,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
on_behalf_of_3_dup1,On behalf of 3,W032,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
on_behalf_of_4_dup1,On behalf of 4,W033,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
defendant_dup1,Defendant,W034,text,text,party_attr,defendant,4,0,green,Y,,,case_dict,
on_behalf_defendant_dup1,On behalf Defendant,W035,text,text,party_attr,defendant,4,0,green,Y,,,case_dict,
obo_defendant_name_dup1,OBO Defendant Name,W036,text,text,party_attr,defendant,4,0,green,Y,,,case_dict,
location_town_dup1,Location Town,W037,text,text,case_constant,county,4,0,green,Y,,,case_dict,
docket_no_dup1,Docket No,W038,text,text,case_constant,docket_no,4,0,green,Y,,,case_dict,
with_request_for_modification_of_extended_order,With request for modification of extended order,W039,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
that_order_has_not_expired_and_will_expire_on_mmddyyyy,That Order has not expired and will expire on mmddyyyy,W040,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
1_i_obtained_an_order_for_protection_against_the_defendant_from_this_court,1 I obtained an Order for Protection against the defendant from this court,W041,text,text,party_attr,defendant,4,0,green,Y,,,case_dict,
the_order_expired_on_mmddyyyy,The Order expired on mmddyyyy,W042,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W043,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
before_the_order_for_protection_expired_because_1,before the Order for Protection expired because 1,W044,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
children_for_the_following_reasons_1,children for the following reasons 1,W045,text,text,narrative_derived,free_text,4,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_1,MAINE JUDICIAL BRANCH 1,W046,text,text,narrative_derived,free_text,5,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W047,text,text,narrative_derived,free_text,5,5,green,,Y,,llm_over_narrative,
i_also_request_that_my_extended_order_for_protection_be_changed_or_modified_as_follows,I also request that my extended Order for Protection be changed or modified as follows,W048,text,text,narrative_derived,free_text,5,5,green,,Y,,llm_over_narrative,
