field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W002,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party_if_any,Other Party if any,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
unified_criminal_docket,Unified Criminal Docket,W006,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
county,County,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location_town,Location Town,W008,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W009,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
plaintiffpetitioner,plaintiffpetitioner,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendantrespondent,defendantrespondent,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
other_name,other name,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_i_ask_the_court_to_continue_postpone_or_change_to_a_later_date_the_following_court_event,and I ask the court to continue postpone or change to a later date the following court event,W013,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
type_of_court_event_for_example_arraignment_case_management_conference_motion_hearing_etc,Type of court event for example arraignment case management conference motion hearing etc,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
b_scheduled_for_mmddyyyy,b Scheduled for mmddyyyy,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
at,at,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
am,am,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
pm,pm,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box2,Check Box2,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
weeks,weeks,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_box3,Check Box3,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
