field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
check_box1,Check Box1,W001,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,Plaintiff,W002,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W003,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party,Other party,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
in_re,IN RE,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
order_appointing_guardian_ad_litem_under_mr_civ_p_17b,ORDER APPOINTING GUARDIAN AD LITEM UNDER MR CIV P 17b,W006,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
appoints_a_guardian_ad_litem_gal_for,appoints a guardian ad litem GAL for,W009,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
birth_is_mmddyyyy,birth is mmddyyyy,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_court_finds_that,The court finds that,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
not_capable_of_meaningfully_participating_in_the_proceeding_that_has_been_commenced_and_does_not_have_a,not capable of meaningfully participating in the proceeding that has been commenced and does not have a,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
is_a_minor_who_does_not_have_a_duly_appointed_representative_or,is a minor who does not have a duly appointed representative or,W013,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
is_a_defendant_who_has_been_served_only_by_publication_and_has_not_appeared,is a defendant who has been served only by publication and has not appeared,W014,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
in_making_this_appointment_the_court_has_relied_on_the_following_information_1,In making this appointment the court has relied on the following information 1,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_gals_name_is,The GALs name is,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_gals_mailing_address_is,The GALs mailing address is,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_gals_telephone_number_is,The GALs telephone number is,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_gals_email_address_is,The GALs email address is,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
namerow1,NameRow1,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailing_addressrow1,Mailing AddressRow1,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_numberrow1,Telephone NumberRow1,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email_addressrow1,Email AddressRow1,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text2,Text2,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text3,Text3,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text5,Text5,W028,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
text6,Text6,W029,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
text7,Text7,W030,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
text8,Text8,W031,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
no_party_objects_to_the_gal_appointment_or,No party objects to the GAL appointment OR,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
plaintiff_2,Plaintiff_2,W033,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
defendant_2,Defendant_2,W034,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
other,Other,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
appointment_of_a_gal_but_after_careful_consideration_the_court_concludes_the_following_factors_support_the,appointment of a GAL but after careful consideration the court concludes the following factors support the,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
appointment_1,appointment 1,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner,PlaintiffPetitioner,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
defendantrespondent,DefendantRespondent,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
other_2,Other_2,W040,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
objects_to_the_fee_arrangement_below_but_after_careful_consideration_the_court_concludes_the_following_factors_in,objects to the fee arrangement below but after careful consideration the court concludes the following factors in,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
mrgal_4b4c_support_the_fee_arrangement_1,MRGAL 4b4C support the fee arrangement 1,W042,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
other_duties,Other duties,W043,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
1,1,W044,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
flat_fee_the_gal_will_complete_all_duties_required_in_this_order_through_the_completion_of_mediation_for_a,Flat Fee The GAL will complete all duties required in this order through the completion of mediation for a,W045,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
if_the_gal_is_required_to_participate_in_hearing_the_fee_for_hearing_will_be,If the GAL is required to participate in hearing the fee for hearing will be,W046,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W047,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W048,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
hourly_rate_the_gal_will_complete_all_duties_required_in_this_order_by_spending_no_more_than,Hourly rate The GAL will complete all duties required in this order by spending no more than,W049,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W050,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
hours_at_an_hourly_rate_of,hours at an hourly rate of,W051,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
pro_bono_or_minimal_fee_the_gal_will_complete_all_duties_required_in_this_order,Pro Bono or minimal fee The GAL will complete all duties required in this order,W052,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
without_charging_a_fee,without charging a fee,W053,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
for_the_minimal_fee_of,for the minimal fee of,W054,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_5,undefined_5,W055,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
payment_by_the_court_the_gals_fees_shall_be_paid_by_the_court_pursuant_to_the_guidelines_contained_in,Payment by the Court The GALs fees shall be paid by the court pursuant to the guidelines contained in,W056,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
on_or_before_mmddyyyy,On or before mmddyyyy,W057,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
defendantrespondent_shall_pay,defendantrespondent shall pay,W058,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
shall_pay,shall pay,W059,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
the_responsibility_for_payment_may_be_reallocated_at_the_final_hearing,The responsibility for payment may be reallocated at the final hearing,W060,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
other,other,W061,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
undefined_6,undefined_6,W062,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner_shall_pay,PlaintiffPetitioner shall pay,W063,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
maine_judicial_branch,MAINE JUDICIAL BRANCH,W064,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
of_each_bill_defendantrespondent_shall_pay,of each bill defendantrespondent shall pay,W065,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
bill_other,bill other,W066,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
shall_pay_2,shall pay_2,W067,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
14_days,14 days,W068,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
week,week,W069,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
month_after_receiving_each_bill_or,month after receiving each bill or,W070,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
plaintiffpetitioner_shall_pay_2,PlaintiffPetitioner shall pay_2,W071,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
per,per,W072,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
week_2,week_2,W073,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
month_toward_the_gal_fees_and_expenses,month toward the GAL fees and expenses,W074,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
defendantrespondent_shall_pay_2,defendantrespondent shall pay_2,W075,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
week_3,week_3,W076,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
month_toward_the_gal_fees_and_expenses_2,month toward the GAL fees and expenses_2,W077,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
and_other,and other,W078,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
shall_pay_3,shall pay_3,W079,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
week_4,week_4,W080,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
month_the,month The,W081,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
monthly,monthly,W082,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
biweekly_basis_the_final_fee,biweekly basis The final fee,W083,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W084,text,text,narrative_derived,date,3,5,green,,Y,,llm_over_narrative,
justice_maine_superior_court,Justice Maine Superior Court,W085,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
judge,Judge,W086,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
magistrate_maine_district_court,Magistrate Maine District Court,W087,text,text,narrative_derived,free_text,3,5,green,,Y,,llm_over_narrative,
