field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
individually_and_on_behalf_of,individually and on behalf of,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_behalf_of,on behalf of,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_2,1_2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_2,2_2,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
v_1,V 1,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_behalf_of_2,on behalf of_2,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
v_2,V 2,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W012,text,text,case_constant,county,0,0,green,Y,,,case_dict,
modify,MODIFY,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
extinguish_final_protection_order,EXTINGUISH FINAL PROTECTION ORDER,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_plaintiff_contact_information,1 Plaintiff Contact Information,W015,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
undefined_2,undefined_2,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
if_different_mailing_address,If different mailing address,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_defendant_contact_information,2 Defendant Contact Information,W018,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
undefined_3,undefined_3,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
if_different_mailing_address_2,If different mailing address_2,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff,plaintiff,W021,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,defendant,W022,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
the_order_for_protection_from_abuseharassment_dated_mmddyyyy,the Order for Protection from AbuseHarassment dated mmddyyyy,W023,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
requests_that,requests that,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
modified_as_follows_1,modified as follows 1,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
maine_judicial_branch_1,MAINE JUDICIAL BRANCH 1,W026,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
19a_mrs_4111_do_not_complete_this_section_if_you_are_the_defendant,19A MRS  4111 Do not complete this section if you are the defendant,W027,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
the_plaintiff,The plaintiff,W028,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
protection_from_abuseharassment_dated_mmddyyyy_1,Protection from AbuseHarassment dated mmddyyyy 1,W029,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
protection_from_abuseharassment_dated_mmddyyyy_2,Protection from AbuseHarassment dated mmddyyyy 2,W030,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W031,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
undefined_4,undefined_4,W032,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
